Common Name,Scientific Name
Black-collared Barbet,Lybius torquatus
Vieillot's Barbet,Lybius vieilloti
Paradise-crow,Lycocorax pyrrhopterus
Jack Snipe,Lymnocryptes minimus
Great Eared-Nightjar,Lyncornis macrotis
Malaysian Eared-Nightjar,Lyncornis temminckii
Black Grouse,Lyrurus tetrix
Yellow-breasted Boatbill,Machaerirhynchus flaviventer
Black-breasted Boatbill,Machaerirhynchus nigripectus
Club-winged Manakin,Machaeropterus deliciosus
Fiery-capped Manakin,Machaeropterus pyrocephalus
Kinglet Manakin,Machaeropterus regulus
Striolated Manakin,Machaeropterus striolatus
Bat Hawk,Macheiramphus alcinus
Cattle Tyrant,Machetornis rixosa
Indian Yellow Tit,Machlolophus aplonotus
Taiwan Yellow Tit,Machlolophus holsti
White-naped Tit,Machlolophus nuchalis
Yellow-cheeked Tit,Machlolophus spilonotus
Himalayan Black-lored Tit,Machlolophus xanthogenys
Large-tailed Antshrike,Mackenziaena leachii
Tufted Antshrike,Mackenziaena severa
Golden-tufted Grackle,Macroagelaius imthurni
Mountain Grackle,Macroagelaius subalaris
Fluffy-backed Tit-Babbler,Macronus ptilosus
Brown Tit-Babbler,Macronus striaticeps
Orange-throated Longclaw,Macronyx capensis
Yellow-throated Longclaw,Macronyx croceus
Fülleborn's Longclaw,Macronyx fuelleborni
Amboyna Cuckoo-Dove,Macropygia amboinensis
Sultan's Cuckoo-Dove,Macropygia doreya
Mackinlay's Cuckoo-Dove,Macropygia mackinlayi
Brown Cuckoo-Dove,Macropygia phasianella
Little Cuckoo-Dove,Macropygia ruficeps
Philippine Cuckoo-Dove,Macropygia tenuirostris
Barred Cuckoo-Dove,Macropygia unchall
Gray Longbill,Macrosphenus concolor
Yellow Longbill,Macrosphenus flavicans
Kemp's Longbill,Macrosphenus kempi
Anianiau,Magumma parva
Abbott's Babbler,Malacocincla abbotti
Horsfield's Babbler,Malacocincla sepiaria
Gray-headed Bushshrike,Malaconotus blanchoti
Sooty-capped Babbler,Malacopteron affine
Scaly-crowned Babbler,Malacopteron cinereum
Moustached Babbler,Malacopteron magnirostre
Rufous-crowned Babbler,Malacopteron magnum
Black-streaked Puffbird,Malacoptila fulvogularis
White-chested Puffbird,Malacoptila fusca
Moustached Puffbird,Malacoptila mystacalis
White-whiskered Puffbird,Malacoptila panamensis
Rufous-necked Puffbird,Malacoptila rufa
Semicollared Puffbird,Malacoptila semicincta
Crescent-chested Puffbird,Malacoptila striata
Pink-eared Duck,Malacorhynchus membranaceus
Rufous-eared Warbler,Malcorus pectoralis
Malia,Malia grata
Blue-billed Malimbe,Malimbus nitens
McGregor's Cuckooshrike,Malindangia mcgregori
White-shouldered Fairywren,Malurus alboscapulatus
Lovely Fairywren,Malurus amabilis
Purple-backed Fairywren,Malurus assimilis
Superb Fairywren,Malurus cyaneus
Emperor Fairywren,Malurus cyanocephalus
Red-winged Fairywren,Malurus elegans
Variegated Fairywren,Malurus lamberti
White-winged Fairywren,Malurus leucopterus
Red-backed Fairywren,Malurus melanocephalus
Splendid Fairywren,Malurus splendens
Orange-collared Manakin,Manacus aurantiacus
White-collared Manakin,Manacus candei
White-bearded Manakin,Manacus manacus
Golden-collared Manakin,Manacus vitellinus
Yellow-throated Miner,Manorina flavigula
Noisy Miner,Manorina melanocephala
Bell Miner,Manorina melanophrys
American Wigeon,Mareca americana
Falcated Duck,Mareca falcata
Eurasian Wigeon,Mareca penelope
Chiloe Wigeon,Mareca sibilatrix
Gadwall,Mareca strepera
Pearly-eyed Thrasher,Margarops fuscatus
Ruddy Treerunner,Margarornis rubiginosus
Pearled Treerunner,Margarornis squamiger
Golden-winged Manakin,Masius chrysopterus
White-bellied Spinetail,Mazaria propinqua
Buff-banded Tyrannulet,Mecocerculus hellmayri
White-throated Tyrannulet,Mecocerculus leucophrys
Sulphur-bellied Tyrannulet,Mecocerculus minor
White-tailed Tyrannulet,Mecocerculus poecilocercus
White-banded Tyrannulet,Mecocerculus stictopterus
Belted Kingfisher,Megaceryle alcyon
Crested Kingfisher,Megaceryle lugubris
Giant Kingfisher,Megaceryle maxima
Ringed Kingfisher,Megaceryle torquata
Striated Grassbird,Megalurus palustris
Tabon Scrubfowl,Megapodius cumingii
Melanesian Scrubfowl,Megapodius eremita
Dusky Scrubfowl,Megapodius freycinet
Orange-footed Scrubfowl,Megapodius reinwardt
Boat-billed Flycatcher,Megarynchus pitangua
White-throated Screech-Owl,Megascops albogularis
Eastern Screech-Owl,Megascops asio
Black-capped Screech-Owl,Megascops atricapilla
Choco Screech-Owl,Megascops centralis
Tropical Screech-Owl,Megascops choliba
Bare-shanked Screech-Owl,Megascops clarkii
Pacific Screech-Owl,Megascops cooperi
Santa Marta Screech-Owl,Megascops gilesi
Middle American Screech-Owl,Megascops guatemalae
Montane Forest Screech-Owl,Megascops hoyi
Rufescent Screech-Owl,Megascops ingens
Western Screech-Owl,Megascops kennicottii
Koepcke's Screech-Owl,Megascops koepckeae
Cinnamon Screech-Owl,Megascops petersoni
Peruvian Screech-Owl,Megascops roboratus
Foothill Screech-Owl,Megascops roraimae
Long-tufted Screech-Owl,Megascops sanctaecatarinae
Balsas Screech-Owl,Megascops seductus
Whiskered Screech-Owl,Megascops trichopsis
Tawny-bellied Screech-Owl,Megascops watsonii
Pearly Antshrike,Megastictus margaritatus
Great Xenops,Megaxenops parnaguae
Buff-rumped Woodpecker,Meiglyptes tristis
Buff-necked Woodpecker,Meiglyptes tukki
Northern Black-Flycatcher,Melaenornis edolioides
White-eyed Slaty-Flycatcher,Melaenornis fischeri
Southern Black-Flycatcher,Melaenornis pammelaina
Fiscal Flycatcher,Melaenornis silens
Lesser Melampitta,Melampitta lugubris
Golden-fronted Woodpecker,Melanerpes aurifrons
White-fronted Woodpecker,Melanerpes cactorum
White Woodpecker,Melanerpes candidus
Red-bellied Woodpecker,Melanerpes carolinus
Golden-naped Woodpecker,Melanerpes chrysauchen
Golden-cheeked Woodpecker,Melanerpes chrysogenys
Yellow-tufted Woodpecker,Melanerpes cruentatus
Red-headed Woodpecker,Melanerpes erythrocephalus
Yellow-fronted Woodpecker,Melanerpes flavifrons
Acorn Woodpecker,Melanerpes formicivorus
Hoffmann's Woodpecker,Melanerpes hoffmannii
Gray-breasted Woodpecker,Melanerpes hypopolius
Lewis's Woodpecker,Melanerpes lewis
Puerto Rican Woodpecker,Melanerpes portoricensis
Black-cheeked Woodpecker,Melanerpes pucherani
Yucatan Woodpecker,Melanerpes pygmaeus
Jamaican Woodpecker,Melanerpes radiolatus
Red-crowned Woodpecker,Melanerpes rubricapillus
Hispaniolan Woodpecker,Melanerpes striatus
West Indian Woodpecker,Melanerpes superciliaris
Gila Woodpecker,Melanerpes uropygialis
Gray Tit,Melaniparus afer
White-bellied Tit,Melaniparus albiventris
Ashy Tit,Melaniparus cinerascens
Dusky Tit,Melaniparus funereus
White-winged Black-Tit,Melaniparus leucomelas
Southern Black-Tit,Melaniparus niger
Rufous-bellied Tit,Melaniparus rufiventris
Somali Tit,Melaniparus thruppi
Black Scoter,Melanitta americana
Velvet Scoter,Melanitta fusca
Common Scoter,Melanitta nigra
Surf Scoter,Melanitta perspicillata
Sultan Tit,Melanochlora sultanea
Calandra Lark,Melanocorypha calandra
Tibetan Lark,Melanocorypha maxima
White-bridled Finch,Melanodera melanodera
Yellow-bridled Finch,Melanodera xanthogramma
Hooded Robin,Melanodryas cucullata
Dusky Robin,Melanodryas vittata
Elegant Crescentchest,Melanopareia elegans
Marañon Crescentchest,Melanopareia maranonica
Olive-crowned Crescentchest,Melanopareia maximiliani
Collared Crescentchest,Melanopareia torquata
Black Catbird,Melanoptila glabrirostris
Black Pitohui,Melanorectes nigrescens
Black-faced Grassquit,Melanospiza bicolor
Blue Mockingbird,Melanotis caerulescens
Blue-and-white Mockingbird,Melanotis hypoleucus
Wild Turkey,Meleagris gallopavo
Ocellated Turkey,Meleagris ocellata
Makira Honeyeater,Meliarchus sclateri
Belford's Melidectes,Melidectes belfordi
Yellow-browed Melidectes,Melidectes rufocrissalis
Hook-billed Kingfisher,Melidora macrorrhina
Lewin's Honeyeater,Meliphaga lewinii
Yellow-spotted Honeyeater,Meliphaga notata
Black-headed Honeyeater,Melithreptus affinis
White-throated Honeyeater,Melithreptus albogularis
Brown-headed Honeyeater,Melithreptus brevirostris
Gilbert's Honeyeater,Melithreptus chloropsis
Black-chinned Honeyeater,Melithreptus gularis
White-naped Honeyeater,Melithreptus lunatus
Strong-billed Honeyeater,Melithreptus validirostris
Bee Hummingbird,Mellisuga helenae
Vervain Hummingbird,Mellisuga minima
Moustached Grass-Warbler,Melocichla mentalis
Budgerigar,Melopsittacus undulatus
Puerto Rican Bullfinch,Melopyrrha portoricensis
Greater Antillean Bullfinch,Melopyrrha violacea
Swamp Sparrow,Melospiza georgiana
Lincoln's Sparrow,Melospiza lincolnii
Song Sparrow,Melospiza melodia
Abert's Towhee,Melozone aberti
White-throated Towhee,Melozone albicollis
White-faced Ground-Sparrow,Melozone biarcuata
Cabanis's Ground-Sparrow,Melozone cabanisi
California Towhee,Melozone crissalis
Canyon Towhee,Melozone fusca
Rusty-crowned Ground-Sparrow,Melozone kieneri
White-eared Ground-Sparrow,Melozone leucotis
Albert's Lyrebird,Menura alberti
Superb Lyrebird,Menura novaehollandiae
Smew,Mergellus albellus
Common Merganser,Mergus merganser
Red-breasted Merganser,Mergus serrator
White-throated Bee-eater,Merops albicollis
European Bee-eater,Merops apiaster
White-fronted Bee-eater,Merops bullockoides
Red-throated Bee-eater,Merops bulocki
Swallow-tailed Bee-eater,Merops hirundineus
Chestnut-headed Bee-eater,Merops leschenaulti
Cinnamon-chested Bee-eater,Merops oreobates
Green Bee-eater,Merops orientalis
Rainbow Bee-eater,Merops ornatus
Blue-cheeked Bee-eater,Merops persicus
Blue-tailed Bee-eater,Merops philippinus
Little Bee-eater,Merops pusillus
Madagascar Bee-eater,Merops superciliosus
Blue-breasted Bee-eater,Merops variegatus
Blue-throated Bee-eater,Merops viridis
Slaty Bristlefront,Merulaxis ater
Green Ibis,Mesembrinibis cayennensis
Brown Mesite,Mesitornis unicolor
White-breasted Mesite,Mesitornis variegatus
Tyrian Metaltail,Metallura tyrianthina
Viridian Metaltail,Metallura williami
Bronze-winged Jacana,Metopidius indicus
Orange-fronted Plushcrown,Metopothrix aurantiaca
Black-winged Ground Dove,Metriopelia melanoptera
Buckley's Forest-Falcon,Micrastur buckleyi
Lined Forest-Falcon,Micrastur gilvicollis
Cryptic Forest-Falcon,Micrastur mintoni
Slaty-backed Forest-Falcon,Micrastur mirandollei
Barred Forest-Falcon,Micrastur ruficollis
Collared Forest-Falcon,Micrastur semitorquatus
Elf Owl,Micrathene whitneyi
Tawny-faced Gnatwren,Microbates cinereiventris
Collared Gnatwren,Microbates collaris
Little Cormorant,Microcarbo niger
Greater Angle-wing,Microcentrum rhombifolium
Wing-banded Wren,Microcerculus bambla
Scaly-breasted Wren,Microcerculus marginatus
Nightingale Wren,Microcerculus philomela
Flutist Wren,Microcerculus ustulatus
Jacky-winter,Microeca fascinans
Lemon-bellied Flycatcher,Microeca flavigaster
Black-thighed Falconet,Microhierax fringillarius
Lanceolated Monklet,Micromonacha lanceolata
Gabar Goshawk,Micronisus gabar
Finsch's Pygmy-Parrot,Micropsitta finschii
Rufous Woodpecker,Micropternus brachyurus
Ocellated Crake,Micropygia schomburgkii
Dot-winged Antwren,Microrhopias quixensis
Gray-throated Warbling Finch,Microspingus cabanisi
Rusty-browed Warbling Finch,Microspingus erythrophrys
Buff-throated Warbling Finch,Microspingus lateralis
Black-capped Warbling Finch,Microspingus melanoleucus
Ringed Warbling Finch,Microspingus torquatus
Rufous-tailed Xenops,Microxenops milleri
Yellow-headed Caracara,Milvago chimachima
Chimango Caracara,Milvago chimango
Black Kite,Milvus migrans
Red Kite,Milvus milvus
Brown-backed Mockingbird,Mimus dorsalis
Tropical Mockingbird,Mimus gilvus
Bahama Mockingbird,Mimus gundlachii
Long-tailed Mockingbird,Mimus longicaudatus
Patagonian Mockingbird,Mimus patagonicus
Northern Mockingbird,Mimus polyglottos
Chalk-browed Mockingbird,Mimus saturninus
Chilean Mockingbird,Mimus thenca
White-banded Mockingbird,Mimus triurus
Red-tailed Minla,Minla ignotincta
Yellow-faced Myna,Mino dumontii
Long-tailed Myna,Mino kreffti
Miogryllus saussurei,Miogryllus saussurei
McConnell's Flycatcher,Mionectes macconnelli
Ochre-bellied Flycatcher,Mionectes oleagineus
Olive-striped Flycatcher,Mionectes olivaceus
Gray-hooded Flycatcher,Mionectes rufiventris
Streak-necked Flycatcher,Mionectes striaticollis
Jerdon's Bushlark,Mirafra affinis
Rufous-naped Lark,Mirafra africana
Cape Clapper Lark,Mirafra apiata
Bengal Bushlark,Mirafra assamica
Singing Bushlark,Mirafra cantillans
Latakoo Lark,Mirafra cheniana
Indochinese Bushlark,Mirafra erythrocephala
Indian Bushlark,Mirafra erythroptera
Eastern Clapper Lark,Mirafra fasciolata
Australasian Bushlark,Mirafra javanica
Monotonous Lark,Mirafra passerina
Flappet Lark,Mirafra rufocinnamomea
Tufted Flycatcher,Mitrephanes phaeocercus
Dusky-faced Tanager,Mitrospingus cassinii
Olive-backed Tanager,Mitrospingus oleagineus
Salvin's Curassow,Mitu salvini
Crestless Curassow,Mitu tomentosum
Razor-billed Curassow,Mitu tuberosum
Bold-striped Tit-Babbler,Mixornis bornensis
Gray-cheeked Tit-Babbler,Mixornis flavicollis
Pin-striped Tit-Babbler,Mixornis gularis
Gray-faced Tit-Babbler,Mixornis kelleyi
Black-and-white Warbler,Mniotilta varia
Spot-throat,Modulatrix stictigula
Whitehead,Mohoua albicilla
Pipipi,Mohoua novaeseelandiae
Yellowhead,Mohoua ochrocephala
Bronzed Cowbird,Molothrus aeneus
Brown-headed Cowbird,Molothrus ater
Shiny Cowbird,Molothrus bonariensis
Giant Cowbird,Molothrus oryzivorus
Screaming Cowbird,Molothrus rufoaxillaris
Andean Motmot,Momotus aequatorialis
Blue-capped Motmot,Momotus coeruliceps
Lesson's Motmot,Momotus lessonii
Russet-crowned Motmot,Momotus mexicanus
Amazonian Motmot,Momotus momota
Whooping Motmot,Momotus subrufescens
Chestnut-bellied Monarch,Monarcha castaneiventris
Black-winged Monarch,Monarcha frater
Black-faced Monarch,Monarcha melanopsis
White-capped Monarch,Monarcha richardsii
Black Nunbird,Monasa atra
Yellow-billed Nunbird,Monasa flavirostris
White-fronted Nunbird,Monasa morphoeus
Black-fronted Nunbird,Monasa nigrifrons
Palani Laughingthrush,Montecincla fairbanki
Blue-capped Rock-Thrush,Monticola cinclorhyncha
White-throated Rock-Thrush,Monticola gularis
Chestnut-bellied Rock-Thrush,Monticola rufiventris
Cape Rock-Thrush,Monticola rupestris
Rufous-tailed Rock-Thrush,Monticola saxatilis
Forest Rock-Thrush,Monticola sharpei
Blue Rock-Thrush,Monticola solitarius
Blanford's Snowfinch,Montifringilla blanfordi
White-winged Snowfinch,Montifringilla nivalis
White-rumped Snowfinch,Montifringilla taczanowskii
Lesser Ground-Cuckoo,Morococcyx erythropygus
Barred Hawk,Morphnarchus princeps
Crested Eagle,Morphnus guianensis
Northern Gannet,Morus bassanus
African Pied Wagtail,Motacilla aguimp
White Wagtail,Motacilla alba
Cape Wagtail,Motacilla capensis
Gray Wagtail,Motacilla cinerea
Citrine Wagtail,Motacilla citreola
Mountain Wagtail,Motacilla clara
Western Yellow Wagtail,Motacilla flava
Madagascar Wagtail,Motacilla flaviventris
Japanese Wagtail,Motacilla grandis
White-browed Wagtail,Motacilla maderaspatensis
Eastern Yellow Wagtail,Motacilla tschutschensis
Ashy Woodpecker,Mulleripicus fulvus
Great Slaty Woodpecker,Mulleripicus pulverulentus
African Dusky Flycatcher,Muscicapa adusta
Swamp Flycatcher,Muscicapa aquatica
Asian Brown Flycatcher,Muscicapa dauurica
Ferruginous Flycatcher,Muscicapa ferruginea
Gray-streaked Flycatcher,Muscicapa griseisticta
Brown-breasted Flycatcher,Muscicapa muttui
Dark-sided Flycatcher,Muscicapa sibirica
Spotted Flycatcher,Muscicapa striata
Brown-streaked Flycatcher,Muscicapa williamsoni
Short-tailed Field Tyrant,Muscigralla brevicauda
Shear-tailed Gray Tyrant,Muscipipra vetula
White-browed Ground-Tyrant,Muscisaxicola albilora
Spot-billed Ground-Tyrant,Muscisaxicola maculirostris
Ross's Turaco,Musophaga rossae
Ash-throated Crake,Mustelirallus albicollis
Paint-billed Crake,Mustelirallus erythrops
Varied Solitaire,Myadestes coloratus
Cuban Solitaire,Myadestes elisabeth
Rufous-throated Solitaire,Myadestes genibarbis
Black-faced Solitaire,Myadestes melanops
Omao,Myadestes obscurus
Brown-backed Solitaire,Myadestes occidentalis
Puaiohi,Myadestes palmeri
Andean Solitaire,Myadestes ralloides
Townsend's Solitaire,Myadestes townsendi
Slate-colored Solitaire,Myadestes unicolor
Collared Grosbeak,Mycerobas affinis
White-winged Grosbeak,Mycerobas carnipes
Black-and-yellow Grosbeak,Mycerobas icterioides
Wood Stork,Mycteria americana
Painted Stork,Mycteria leucocephala
Shining Flycatcher,Myiagra alecto
Melanesian Flycatcher,Myiagra caledonica
Satin Flycatcher,Myiagra cyanoleuca
Steel-blue Flycatcher,Myiagra ferrocyanea
Moluccan Flycatcher,Myiagra galeata
Restless Flycatcher,Myiagra inquieta
Paperbark Flycatcher,Myiagra nana
Leaden Flycatcher,Myiagra rubecula
Broad-billed Flycatcher,Myiagra ruficollis
Vanikoro Flycatcher,Myiagra vanikorensis
Puerto Rican Flycatcher,Myiarchus antillarum
Apical Flycatcher,Myiarchus apicalis
Sad Flycatcher,Myiarchus barbirostris
Pale-edged Flycatcher,Myiarchus cephalotes
Ash-throated Flycatcher,Myiarchus cinerascens
Great Crested Flycatcher,Myiarchus crinitus
Short-crested Flycatcher,Myiarchus ferox
Nutting's Flycatcher,Myiarchus nuttingi
Panama Flycatcher,Myiarchus panamensis
Sooty-crowned Flycatcher,Myiarchus phaeocephalus
La Sagra's Flycatcher,Myiarchus sagrae
Stolid Flycatcher,Myiarchus stolidus
Swainson's Flycatcher,Myiarchus swainsoni
Dusky-capped Flycatcher,Myiarchus tuberculifer
Brown-crested Flycatcher,Myiarchus tyrannulus
Venezuelan Flycatcher,Myiarchus venezuelensis
Yucatan Flycatcher,Myiarchus yucatanensis
Black-tailed Flycatcher,Myiobius atricaudus
Whiskered Flycatcher,Myiobius barbatus
Sulphur-rumped Flycatcher,Myiobius sulphureipygius
White-fronted Redstart,Myioborus albifrons
Brown-capped Redstart,Myioborus brunniceps
Tepui Redstart,Myioborus castaneocapilla
Yellow-crowned Redstart,Myioborus flavivertex
Spectacled Redstart,Myioborus melanocephalus
Slate-throated Redstart,Myioborus miniatus
Golden-fronted Redstart,Myioborus ornatus
Painted Redstart,Myioborus pictus
Collared Redstart,Myioborus torquatus
Baird's Flycatcher,Myiodynastes bairdii
Golden-crowned Flycatcher,Myiodynastes chrysocephalus
Golden-bellied Flycatcher,Myiodynastes hemichrysus
Sulphur-bellied Flycatcher,Myiodynastes luteiventris
Streaked Flycatcher,Myiodynastes maculatus
White-tailed Robin,Myiomela leucura
Gray Elaenia,Myiopagis caniceps
Yellow-crowned Elaenia,Myiopagis flavivertex
Forest Elaenia,Myiopagis gaimardii
Foothill Elaenia,Myiopagis olallai
Pacific Elaenia,Myiopagis subplacens
Greenish Elaenia,Myiopagis viridicata
Olive-chested Flycatcher,Myiophobus cryptoxanthus
Bran-colored Flycatcher,Myiophobus fasciatus
Flavescent Flycatcher,Myiophobus flavicans
Orange-crested Flycatcher,Myiophobus phoenicomitra
Monk Parakeet,Myiopsitta monachus
White-bellied Pygmy-Tyrant,Myiornis albiventris
Black-capped Pygmy-Tyrant,Myiornis atricapillus
Eared Pygmy-Tyrant,Myiornis auricularis
Short-tailed Pygmy-Tyrant,Myiornis ecaudatus
Smoky Bush-Tyrant,Myiotheretes fumigatus
Rufous-bellied Bush-Tyrant,Myiotheretes fuscorufus
Santa Marta Bush-Tyrant,Myiotheretes pernix
Streak-throated Bush-Tyrant,Myiotheretes striaticollis
Santa Marta Warbler,Myiothlypis basilica
Two-banded Warbler,Myiothlypis bivittata
Golden-bellied Warbler,Myiothlypis chrysogaster
Gray-throated Warbler,Myiothlypis cinereicollis
White-lored Warbler,Myiothlypis conspicillata
Russet-crowned Warbler,Myiothlypis coronata
Flavescent Warbler,Myiothlypis flaveola
Gray-and-gold Warbler,Myiothlypis fraseri
Buff-rumped Warbler,Myiothlypis fulvicauda
White-browed Warbler,Myiothlypis leucoblephara
White-striped Warbler,Myiothlypis leucophrys
Citrine Warbler,Myiothlypis luteoviridis
Black-crested Warbler,Myiothlypis nigrocristata
Riverbank Warbler,Myiothlypis rivularis
Pale-legged Warbler,Myiothlypis signata
Ornate Flycatcher,Myiotriccus ornatus
Rusty-margined Flycatcher,Myiozetetes cayanensis
Gray-capped Flycatcher,Myiozetetes granadensis
Dusky-chested Flycatcher,Myiozetetes luteiventris
Social Flycatcher,Myiozetetes similis
Blue Whistling-Thrush,Myophonus caeruleus
Malabar Whistling-Thrush,Myophonus horsfieldii
Taiwan Whistling-Thrush,Myophonus insularis
Shiny Whistling-Thrush,Myophonus melanurus
Ash-colored Tapaculo,Myornis senilis
White-bellied Antbird,Myrmeciza longipes
Northern Anteater-Chat,Myrmecocichla aethiops
Arnot's Chat,Myrmecocichla arnotti
Southern Anteater-Chat,Myrmecocichla formicivora
Mountain Wheatear,Myrmecocichla monticola
Sooty Chat,Myrmecocichla nigra
Humaita Antbird,Myrmelastes humaythae
Plumbeous Antbird,Myrmelastes hyperythrus
Spot-winged Antbird,Myrmelastes leucostigma
Rufous-faced Antbird,Myrmelastes rufifacies
Slate-colored Antbird,Myrmelastes schistaceus
White-browed Antbird,Myrmoborus leucophrys
White-lined Antbird,Myrmoborus lophotes
Ash-breasted Antbird,Myrmoborus lugubris
Black-tailed Antbird,Myrmoborus melanurus
Black-faced Antbird,Myrmoborus myotherinus
Black-and-white Antbird,Myrmochanes hemileucus
Ferruginous-backed Antbird,Myrmoderus ferrugineus
White-bibbed Antbird,Myrmoderus loricatus
Scalloped Antbird,Myrmoderus ruficauda
Squamate Antbird,Myrmoderus squamosus
Black-throated Antbird,Myrmophylax atrothorax
Stripe-backed Antbird,Myrmorchilus strigilatus
Wing-banded Antbird,Myrmornis torquata
Amazonian Antpitta,Myrmothera berlepschi
Thrush-like Antpitta,Myrmothera campanisona
Thicket Antpitta,Myrmothera dives
White-lored Antpitta,Myrmothera fulviventris
Tepui Antpitta,Myrmothera simplex
Tapajos Antpitta,Myrmothera subcanescens
Yellow-throated Antwren,Myrmotherula ambigua
Leaden Antwren,Myrmotherula assimilis
White-flanked Antwren,Myrmotherula axillaris
Pygmy Antwren,Myrmotherula brachyura
Cherrie's Antwren,Myrmotherula cherriei
Moustached Antwren,Myrmotherula ignota
Ihering's Antwren,Myrmotherula iheringi
Klages's Antwren,Myrmotherula klagesi
Stripe-chested Antwren,Myrmotherula longicauda
Long-winged Antwren,Myrmotherula longipennis
Gray Antwren,Myrmotherula menetriesii
Salvadori's Antwren,Myrmotherula minor
Amazonian Streaked-Antwren,Myrmotherula multostriata
Pacific Antwren,Myrmotherula pacifica
Slaty Antwren,Myrmotherula schisticolor
Sclater's Antwren,Myrmotherula sclateri
Guianan Streaked-Antwren,Myrmotherula surinamensis
Unicolored Antwren,Myrmotherula unicolor
Band-tailed Antwren,Myrmotherula urosticta
Purple-collared Woodstar,Myrtis fanny
Crossley's Vanga,Mystacornis crossleyi
White-eared Myza,Myza sarasinorum
Cardinal Myzomela,Myzomela cardinalis
Red-headed Myzomela,Myzomela erythrocephala
Dusky Myzomela,Myzomela obscura
Red-collared Myzomela,Myzomela rosenbergii
Micronesian Myzomela,Myzomela rubratra
Scarlet Myzomela,Myzomela sanguinolenta
Tepui Parrotlet,Nannopsittaca panychlora
Double-crested Cormorant,Nannopterum auritum
Neotropic Cormorant,Nannopterum brasilianum
Short-tailed Scimitar-Babbler,Napothera danjoui
Eyebrowed Wren-Babbler,Napothera epilepidota
Long-billed Wren-Babbler,Napothera malacoptila
Long-billed Woodcreeper,Nasica longirostris
Malachite Sunbird,Nectarinia famosa
Bronze Sunbird,Nectarinia kilimensis
Hooded Tanager,Nemosia pileata
Gray Monjita,Nengetus cinereus
Crimson Finch,Neochmia phaeton
Red-browed Firetail,Neochmia temporalis
False Robust Conehead,Neoconocephalus bivocatus
Sword-bearing Conehead,Neoconocephalus ensiger
Round-tipped Conehead,Neoconocephalus retusus
Robust Conehead,Neoconocephalus robustus
Finsch's Flycatcher-Thrush,Neocossyphus finschi
Rufous Flycatcher-Thrush,Neocossyphus fraseri
White-tailed Ant-Thrush,Neocossyphus poensis
Red-tailed Ant-Thrush,Neocossyphus rufus
Black Bushbird,Neoctantes niger
Stripe-throated Jery,Neomixis striatigula
Common Jery,Neomixis tenella
Rufous-vented Ground-Cuckoo,Neomorphus geoffroyi
Rufous-winged Ground-Cuckoo,Neomorphus rufipennis
Cuban Ground Cricket,Neonemobius cubensis
Wied's Tyrant-Manakin,Neopelma aurifrons
Saffron-crested Tyrant-Manakin,Neopelma chrysocephalum
Serra do Mar Tyrant-Manakin,Neopelma chrysolophum
Pale-bellied Tyrant-Manakin,Neopelma pallescens
Sulphur-bellied Tyrant-Manakin,Neopelma sulphureiventer
Turquoise Parrot,Neophema pulchella
Cinnamon Manakin-Tyrant,Neopipo cinnamomea
White-banded Tanager,Neothraupis fasciata
Orange-banded Flycatcher,Nephelomyias lintoni
Handsome Flycatcher,Nephelomyias pulcher
Subdesert Brush-Warbler,Nesillas lantzii
Malagasy Brush-Warbler,Nesillas typica
Pink Pigeon,Nesoenas mayeri
Yellow-throated Honeyeater,Nesoptilotis flavicollis
White-eared Honeyeater,Nesoptilotis leucotis
Puerto Rican Tanager,Nesospingus speculiferus
New Zealand Kaka,Nestor meridionalis
Red-crested Pochard,Netta rufina
Cotton Pygmy-Goose,Nettapus coromandelianus
Dark Newtonia,Newtonia amphichroa
Archbold's Newtonia,Newtonia archboldi
Common Newtonia,Newtonia brunneicauda
Western Nicator,Nicator chloris
Eastern Nicator,Nicator gularis
Yellow-throated Nicator,Nicator vireo
Gray-headed Nigrita,Nigrita canicapillus
Brubru,Nilaus afer
Large Niltava,Niltava grandis
Small Niltava,Niltava macgrigoriae
Rufous-bellied Niltava,Niltava sundara
Vivid Niltava,Niltava vivida
Southern Boobook,Ninox boobook
Barking Owl,Ninox connivens
Cinnabar Boobook,Ninox ios
Northern Boobook,Ninox japonica
Morepork,Ninox novaeseelandiae
Hume's Boobook,Ninox obscura
Luzon Boobook,Ninox philippensis
Brown Boobook,Ninox scutulata
Powerful Owl,Ninox strenua
Papuan Boobook,Ninox theomacha
Changeable Hawk-Eagle,Nisaetus cirrhatus
Wallace's Hawk-Eagle,Nisaetus nanus
Mountain Hawk-Eagle,Nisaetus nipalensis
Noise,Noise
Brown Nunlet,Nonnula brunnea
Gray-cheeked Nunlet,Nonnula frontalis
Rusty-breasted Nunlet,Nonnula rubecula
Rufous-capped Nunlet,Nonnula ruficapilla
Greater Bluebonnet,Northiella haematogaster
White-necked Puffbird,Notharchus hyperrhynchus
Guianan Puffbird,Notharchus macrorhynchos
Brown-banded Puffbird,Notharchus ordii
Black-breasted Puffbird,Notharchus pectoralis
Buff-bellied Puffbird,Notharchus swainsoni
Pied Puffbird,Notharchus tectus
Highland Tinamou,Nothocercus bonapartei
Tawny-breasted Tinamou,Nothocercus julius
Hooded Tinamou,Nothocercus nigrocapillus
Nocturnal Curassow,Nothocrax urumutum
Brushland Tinamou,Nothoprocta cinerascens
Ornate Tinamou,Nothoprocta ornata
